GEOID,drought_freq_spei12_midcentury,drought_delta_spei12_midcentury,drought_freq_spei36_midcentury,drought_delta_spei36_midcentury
06047002601,13.17859061395131,163.57181227902618,19.33212573066589,286.6425146133178
06111008601,6.976873227969531,39.5374645593906,4.002803533222899,-19.94392933554203
06111006101,17.576840196685225,251.53680393370456,17.4204733105013,248.40946621002595
06111003901,8.584594372932951,71.69188745865902,5.608450180534826,12.16900361069649
06111001510,11.825396825396826,136.5079365079365,10.912698412698413,118.25396825396822
06113011208,10.54756214132154,110.9512428264308,13.913199270588354,178.26398541176704
06111008308,16.149833742848287,222.9966748569657,20.482762778342767,309.6552555668553
06099003003,11.411037996507533,128.22075993015065,18.61066110225141,272.2132220450282
06099002506,10.580208953608349,111.604179072167,18.6573840499907,273.147680999814
06099002304,10.56029825145561,111.20596502911222,18.953865806705057,279.0773161341011
06099003203,9.717997151563193,94.35994303126378,13.89604769530693,177.92095390613852
06099003206,9.731954607835348,94.63909215670692,13.624458597648275,172.48917195296548
06113011207,11.529329378881355,130.5865875776271,14.158891896959059,183.17783793918113
06103000702,10.469686252043077,109.39372504086157,12.207074392436756,144.1414878487351
06019008405,12.865092759795758,157.3018551959151,23.2280402222043,364.5608044440859
06019005915,13.2166940152824,164.33388030564794,22.635775240242992,352.7155048048598
06019008304,13.122359245637831,162.44718491275665,23.48194391853123,369.6388783706245
06019000701,14.801587301587302,196.03174603174602,24.841269841269842,396.82539682539687
06019005526,15.030453292793387,200.6090658558677,25.53195560316456,410.6391120632911
06019007101,16.301638798963097,226.03277597926188,32.77503213800239,555.5006427600478
06019006002,14.080150195971676,181.6030039194335,25.991854773919925,419.83709547839845
06019006301,14.576875771896713,191.5375154379342,28.3348055187567,466.6961103751339
06029003220,19.42010488623706,288.4020977247412,35.45930449634698,609.1860899269395
06029006009,14.468894222254757,189.37788444509513,22.8229106222851,356.458212445702
06029002001,19.007936507936506,280.1587301587301,28.92857142857143,478.57142857142856
06029006600,18.859598844818198,277.19197689636394,35.52955861703349,610.5911723406697
06029003125,19.246031746031743,284.9206349206349,31.865079365079367,537.3015873015873
06029003127,18.53174603174603,270.63492063492066,32.77777777777778,555.5555555555555
06029004606,15.75449982269371,215.0899964538742,26.067628476306773,421.3525695261354
06029001105,20.02407708286216,300.4815416572432,33.9673919771677,579.347839543354
06029003217,19.087301587301585,281.74603174603175,32.73809523809524,554.7619047619047
06029004305,19.38191405447833,287.6382810895665,34.85508266342004,597.1016532684007
06029001003,17.385278594159935,247.7055718831987,30.75971417449165,515.1942834898329
06029003821,19.59261967912207,291.8523935824414,36.94464139885352,638.8928279770704
06029003822,19.07024208106612,281.40484162132236,36.58952625673119,631.7905251346237
06029000106,18.912463883614386,278.24927767228763,34.51953482331759,590.3906964663518
06029001804,19.287295891042795,285.7459178208559,31.68295600782678,533.6591201565354
06029004605,17.172311087831666,243.4462217566333,29.141437104072498,482.8287420814499
06029004801,16.047456499076482,220.94912998152967,25.590567408889203,411.811348177784
06029004704,16.83236046047213,236.64720920944254,29.072189910794506,481.44379821589007
06029000202,17.936507936507937,258.7301587301587,31.82539682539683,536.5079365079365
06029003814,19.44595818308527,288.91916366170534,35.3221719417936,606.443438835872
06029005409,25.180596655461756,403.6119331092352,45.981906301479725,819.6381260295946
06029002503,19.05031638906807,281.00632778136134,32.90889460221898,558.1778920443795
06029005513,26.254354701735018,425.0870940347003,44.478201230307604,789.5640246061521
06111001303,12.758725293248752,155.174505864975,12.325293972916516,146.50587945833033
06025011903,36.040177264313776,620.8035452862756,53.873646204682366,977.4729240936473
06025012202,33.968996431695885,579.3799286339178,49.68326260746998,893.6652521493996
06071010425,29.242971653932365,484.85943307864727,46.15017753471563,823.0035506943125
06071002315,17.545045896525643,250.90091793051283,22.106367413454798,342.12734826909593
06071010905,20.839044245538542,316.78088491077085,29.428624523065686,488.57249046131375
06071010432,30.902402534472813,518.0480506894562,48.13816480272328,862.7632960544655
06083001909,20.532935657582385,310.6587131516477,27.788171781543223,455.76343563086436
06083980400,12.961104117945776,159.22208235891554,17.548986885214475,250.97973770428956
06001441928,10.1135287939846,102.27057587969196,12.147252599894257,142.9450519978851
06001444304,6.864716505608648,37.29433011217294,5.356912925906874,7.138258518137452
06001403401,7.422111909095048,48.44223818190095,6.434183984719913,28.683679694398233
06001402801,7.420200633729919,48.404012674598356,6.434651445241467,28.693028904829326
06083001910,20.456144968236927,309.1228993647386,26.137248155207452,422.74496310414906
06083001308,6.928399325136226,38.56798650272451,5.892169932010471,17.84339864020939
06083001307,8.934577326781733,78.69154653563466,8.261198407016641,65.22396814033284
06083002307,11.871220222233354,137.42440444466706,11.021820601068535,120.4364120213707
06017030506,11.535053409914829,130.70106819829655,15.069454571006675,201.38909142013352
06017030202,13.97873084822504,179.5746169645008,20.09498883272925,301.899776654585
06017031602,14.457517441504194,189.15034883008389,20.882495115376372,317.64990230752744
06017031505,9.451900582639372,89.03801165278743,12.771366805542595,155.42733611085185
06017030403,11.585459778951545,131.7091955790309,13.90485348869428,178.0970697738856
06039000702,13.204278541735679,164.08557083471356,21.843271275779845,336.8654255155969
06039000512,12.956460755072222,159.12921510144443,22.026165310993893,340.5233062198779
06039000514,12.870026911349807,157.40053822699616,22.228618513729156,344.57237027458314
06039000517,12.85594359211353,157.1188718422706,21.62975900149437,332.59518002988744
06067007110,9.642857142857144,92.85714285714286,13.174603174603176,163.4920634920635
06067007028,9.682539682539684,93.65079365079364,12.976190476190478,159.52380952380952
06067008706,10.492537932487783,109.8507586497557,12.366444615002575,147.32889230005145
