year,month,cdcr_code,in_custody
2025,9,SOL,3676
2025,9,SQ,2581
2025,9,SVSP,2437
2025,9,VSP,3297
2025,9,WSP,3444
2025,9,CPMP,
2025,9,FCRF,404
2025,9,Alternative Custody Program,
2025,9,Department of State Hospitals,196
2025,9,Male Community Reentry Facility,767
2025,9,Medical Reprieve Program,
2025,9,CCI,2519
2025,9,CCWF,2061
2025,9,CEN,3081
2025,9,CHCF,2334
2025,9,CIM,2278
2025,10,ASP,3852
2025,10,CIW,1128
2025,10,CMC,2110
2025,10,CMF,2149
2025,10,COR,2706
2025,10,CRC,1632
2025,10,CTF,4154
2025,10,FOL,2737
2025,10,HDSP,2739
2025,10,ISP,2913
2025,10,KVSP,2917
2025,10,LAC,2786
2025,10,MCSP,3731
2025,10,NKSP,2726
2025,10,PBSP,2226
2025,10,PVSP,3142
2025,10,RJD,3788
2025,10,SAC,2144
2025,10,CAL,2516
2025,10,SATF,5472
2025,10,SCC,4073
2025,10,SOL,3741
2025,10,SQ,2532
2025,10,SVSP,2452
2025,10,VSP,3270
2025,10,WSP,3405
2025,10,CPMP,
2025,10,FCRF,399
2025,10,Alternative Custody Program,
2025,10,Department of State Hospitals,195
2025,10,Male Community Reentry Facility,779
2025,10,Medical Reprieve Program,
2025,10,CCI,2458
2025,10,CCWF,2101
2025,10,CEN,3188
2025,10,CHCF,2350
2025,10,CIM,2276
2025,11,ASP,3796
2025,11,CIW,1123
2025,11,CMC,2135
2025,11,CMF,2153
2025,11,COR,2649
2025,11,CRC,1335
2025,11,CTF,4164
2025,11,FOL,2680
2025,11,HDSP,2814
2025,11,ISP,2983
2025,11,KVSP,3070
2025,11,LAC,2915
2025,11,MCSP,3697
2025,11,NKSP,2784
2025,11,PBSP,2195
2025,11,PVSP,3113
2025,11,RJD,3758
2025,11,SAC,2135
2025,11,CAL,2502
2025,11,SATF,5412
2025,11,SCC,4064
2025,11,SOL,3768
2025,11,SQ,2507
2025,11,SVSP,2426
2025,11,VSP,3245
2025,11,WSP,3470
2025,11,CPMP,
2025,11,FCRF,381
2025,11,Alternative Custody Program,
2025,11,Department of State Hospitals,191
2025,11,Male Community Reentry Facility,787
2025,11,Medical Reprieve Program,
2025,11,CCI,2392
2025,11,CCWF,2130
2025,11,CEN,3181
2025,11,CHCF,2336
2025,11,CIM,2232
2025,12,ASP,3821
2025,12,CIW,1099
2025,12,CMC,2201
2025,12,CMF,2183
2025,12,COR,2657
2025,12,CRC,999
2025,12,CTF,4131
2025,12,FOL,2706
2025,12,HDSP,2896
2025,12,ISP,3172
2025,12,KVSP,3249
2025,12,LAC,3066
2025,12,MCSP,3546
2025,12,NKSP,2840
2025,12,PBSP,2169
2025,12,PVSP,3083
2025,12,RJD,3773
2025,12,SAC,2149
2025,12,CAL,2509
2025,12,SATF,5319
2025,12,SCC,4103
2025,12,SOL,3783
2025,12,SQ,2506
2025,12,SVSP,2367
2025,12,VSP,3200
2025,12,WSP,3369
2025,12,CPMP,
2025,12,FCRF,380
2025,12,Alternative Custody Program,
2025,12,Department of State Hospitals,187
2025,12,Male Community Reentry Facility,778
2025,12,Medical Reprieve Program,
2025,12,CCI,2376
2025,12,CCWF,2168
2025,12,CEN,3150
2025,12,CHCF,2351
2025,12,CIM,2293
2024,1,ASP,4717
2024,1,CIW,1185
2024,1,CMC,2249
2024,1,CMF,2177
2024,1,COR,3452
2024,1,CRC,3128
2024,1,CTF,4122
2024,1,CVSP,1756
2024,1,FOL,2765
2024,1,HDSP,2246
2024,1,ISP,2532
2024,1,KVSP,2928
2024,1,LAC,2894
2024,1,MCSP,3935
2024,1,NKSP,3772
2024,1,PBSP,1433
2024,1,PVSP,2707
2024,1,RJD,3299
2024,1,SAC,1835
2024,1,CAL,2654
2024,1,SATF,4417
2024,1,SCC,3940
2024,1,SOL,3895
2024,1,SQ,3551
2024,1,SVSP,2628
2024,1,VSP,3147
