institution,fiscal_year,category,metric,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun
CCWF,2021-2022,Use of Force (UOF),Total UOF Incidents,17.00,22.00,21.00,19.00,8.00,21.00,12.00,16.00,19.00,13.00,20.00,15.00
CEN,2021-2022,Fiscal,Actual Expenditures ($),"14,921,594.51","30,988,367.75","46,190,340.01","61,660,059.20","77,584,375.59","95,478,811.25","110,446,121.39","127,142,038.31","142,100,718.92","157,790,956.28","172,945,314.13","188,839,410.49"
CEN,2021-2022,Fiscal,Institution Budget ($),"169,679,623.00","169,632,829.00","169,659,880.00","169,980,840.00","180,101,575.00","180,142,330.00","181,904,590.00","182,927,260.00","182,877,246.00","189,820,962.00","190,868,981.00","191,019,083.00"
CEN,2021-2022,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,0.46,0.52,0.40,5.72,3.24,0.66,5.08,3.69,4.43,1.91,3.25,5.96
CEN,2021-2022,Lockdowns and Modified Programs,Lockdowns,2.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
CEN,2021-2022,Number of Deaths,Expected,,,,,,,2.00,,,,,
CEN,2021-2022,Overtime Hours,Custody (Overtime),"12,463.95","18,085.14","15,609.53","18,607.92","15,519.63","16,266.09","23,495.99","15,357.10","19,285.94","16,932.48","19,199.82","15,844.25"
CEN,2021-2022,Overtime Hours,Dental + Mental Health (Overtime),190.60,204.90,213.80,215.80,159.90,83.05,115.45,134.80,118.00,133.90,142.35,111.75
CEN,2021-2022,Overtime Hours,Non-Custody (Overtime),"1,340.25","1,807.25","1,120.75","1,529.00","1,270.75","1,247.25","1,613.50","1,173.00","1,414.50","1,429.25","1,914.25","1,538.50"
CEN,2021-2022,Overtime Hours,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
CEN,2021-2022,Overtime Hours,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
CEN,2021-2022,Overtime Hours,Total Overtime Hours,"13,994.80","20,097.29","16,944.08","20,352.72","16,950.28","17,596.39","25,224.94","16,664.90","20,818.44","18,495.63","21,256.42","17,494.50"
CEN,2021-2022,Use of Force (UOF),Total UOF Incidents,11.00,8.00,4.00,8.00,8.00,4.00,8.00,5.00,6.00,4.00,5.00,7.00
CEN,2021-2022,Use of Force (UOF),Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
CEN,2021-2022,Use of Force (UOF),Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
CHCF,2021-2022,Fiscal,Actual Expenditures ($),"36,982,952.20","55,345,457.34","81,300,445.36","104,204,003.23","130,629,173.86","158,504,912.80","182,692,976.98","206,138,161.32","233,075,985.93","257,002,984.08","279,674,976.00","304,543,898.75"
CHCF,2021-2022,Fiscal,Institution Budget ($),"344,052,293.00","343,983,153.00","343,983,153.00","343,983,153.00","284,545,314.00","284,715,689.00","286,871,018.00","288,389,293.00","287,004,389.00","299,640,713.00","306,976,241.00","307,163,283.00"
CHCF,2021-2022,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,4.91,9.02,5.99,4.06,2.94,4.55,25.97,17.97,7.38,3.51,16.50,17.39
CHCF,2021-2022,Lockdowns and Modified Programs,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
CHCF,2021-2022,Lockdowns and Modified Programs,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
CHCF,2021-2022,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CHCF,2021-2022,Number of Deaths,Expected,1.00,3.00,9.00,3.00,2.00,,5.00,6.00,8.00,1.00,4.00,8.00
CHCF,2021-2022,Number of Deaths,Missing,,,,,,1.00,3.00,,,1.00,1.00,
CHCF,2021-2022,Number of Deaths,Unexpected,,,2.00,1.00,2.00,,1.00,1.00,,2.00,3.00,3.00
CHCF,2021-2022,Overtime Hours,Custody (Overtime),"31,171.84","45,583.60","32,878.11","43,975.81","30,329.94","28,052.96","45,491.31","28,519.32","25,535.18","23,348.90","30,360.96","28,082.85"
CHCF,2021-2022,Overtime Hours,Dental + Mental Health (Overtime),224.85,183.55,173.80,121.25,176.75,120.00,104.00,121.65,106.50,117.30,151.00,117.25
CHCF,2021-2022,Overtime Hours,Non-Custody (Overtime),"4,977.01","5,759.40","3,735.05","4,844.08","3,754.25","3,055.25","5,705.45","3,567.75","4,271.75","4,028.38","4,898.50","3,962.00"
CHCF,2021-2022,Overtime Hours,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
CHCF,2021-2022,Overtime Hours,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
CHCF,2021-2022,Overtime Hours,Total Overtime Hours,"36,373.70","51,526.55","36,786.96","48,941.14","34,260.94","31,228.21","51,300.76","32,208.72","29,913.43","27,494.58","35,410.46","32,162.10"
CHCF,2021-2022,Use of Force (UOF),Total UOF Incidents,28.00,28.00,19.00,18.00,20.00,16.00,18.00,12.00,19.00,11.00,15.00,21.00
CHCF,2021-2022,Use of Force (UOF),Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
