Year,Month,Location,Country of Birth,Population
2025,Mar,WSP,Guatemala,20
2025,Mar,WSP,Mexico,192
2025,Mar,WSP,Others,265
2025,Mar,WSP,Philippines,*
2025,Mar,WSP,United States,"3,140"
2025,Mar,WSP,Vietnam,*
2025,Mar,CPMP,El Salvador,(Blank)
2025,Mar,CPMP,Guatemala,(Blank)
2025,Mar,CPMP,Mexico,(Blank)
2025,Mar,CPMP,Others,*
2025,Mar,CPMP,Philippines,(Blank)
2025,Mar,CPMP,United States,*
2025,Mar,CPMP,Vietnam,(Blank)
2025,Mar,FCRF,El Salvador,*
2025,Mar,FCRF,Guatemala,*
2025,Mar,FCRF,Mexico,14
2025,Mar,FCRF,Others,56
2025,Mar,FCRF,Philippines,*
2025,Mar,FCRF,United States,334
2025,Mar,FCRF,Vietnam,(Blank)
2025,Mar,Alternative Custody Program,El Salvador,(Blank)
