Year,Month,Location,Age Group,Population
2025,Jan,WSP,80-84 Years,(Blank)
2025,Jan,WSP,85-89 Years,*
2025,Jan,WSP,90-94 Years,(Blank)
2025,Jan,WSP,95 and Older,(Blank)
2025,Jan,CPMP,18-24 Years,*
2025,Jan,CPMP,25-29 Years,*
2025,Jan,CPMP,30-34 Years,*
2025,Jan,CPMP,35-39 Years,(Blank)
2025,Jan,CPMP,40-44 Years,*
2025,Jan,CPMP,45-49 Years,(Blank)
2025,Jan,CPMP,50-54 Years,(Blank)
2025,Jan,CPMP,55-59 Years,(Blank)
2025,Jan,CPMP,60-64 Years,(Blank)
2025,Jan,CPMP,65-69 Years,(Blank)
2025,Jan,CPMP,70-74 Years,(Blank)
2025,Jan,CPMP,75-79 Years,(Blank)
2025,Jan,CPMP,80-84 Years,(Blank)
2025,Jan,CPMP,85-89 Years,(Blank)
2025,Jan,CPMP,90-94 Years,(Blank)
2025,Jan,CPMP,95 and Older,(Blank)
2025,Jan,FCRF,18-24 Years,15
2025,Jan,FCRF,25-29 Years,58
2025,Jan,FCRF,30-34 Years,72
2025,Jan,FCRF,35-39 Years,56
2025,Jan,FCRF,40-44 Years,68
2025,Jan,FCRF,45-49 Years,31
2025,Jan,FCRF,50-54 Years,19
2025,Jan,FCRF,55-59 Years,18
2025,Jan,FCRF,60-64 Years,11
2025,Jan,FCRF,65-69 Years,*
2025,Jan,FCRF,70-74 Years,(Blank)
2025,Jan,FCRF,75-79 Years,*
2025,Jan,FCRF,80-84 Years,(Blank)
2025,Jan,FCRF,85-89 Years,(Blank)
2025,Jan,FCRF,90-94 Years,(Blank)
2025,Jan,FCRF,95 and Older,(Blank)
2025,Jan,Alternative Custody Program,18-24 Years,(Blank)
2025,Jan,Alternative Custody Program,25-29 Years,(Blank)
2025,Jan,Alternative Custody Program,30-34 Years,*
2025,Jan,Alternative Custody Program,35-39 Years,*
2025,Jan,Alternative Custody Program,40-44 Years,*
2025,Jan,Alternative Custody Program,45-49 Years,*
