month,group,institution,measure,value
Jul 2021,Major Costs,HDSP,Total Labor Cost (All),$985
Jul 2021,Major Costs,HDSP,ED & Hospital Stays,$126
Jul 2021,Major Costs,ISP,Total Labor Cost (All),$769
Jul 2021,Major Costs,ISP,ED & Hospital Stays,$86
Jul 2021,Major Costs,KVSP,Total Labor Cost (All),$1031
Jul 2021,Major Costs,KVSP,ED & Hospital Stays,$99
Jul 2021,Major Costs,LAC,Total Labor Cost (All),$2014
Jul 2021,Major Costs,LAC,ED & Hospital Stays,$167
Jul 2021,Major Costs,MCSP,Total Labor Cost (All),$1563
Jul 2021,Major Costs,MCSP,ED & Hospital Stays,$216
Jul 2021,Major Costs,NKSP,Total Labor Cost (All),$1778
Jul 2021,Major Costs,NKSP,ED & Hospital Stays,$73
Jul 2021,Major Costs,PBSP,Total Labor Cost (All),$1053
Jul 2021,Major Costs,PBSP,ED & Hospital Stays,$38
Jul 2021,Major Costs,PVSP,Total Labor Cost (All),$931
Jul 2021,Major Costs,PVSP,ED & Hospital Stays,$49
Jul 2021,Major Costs,RJD,Total Labor Cost (All),$2044
Jul 2021,Major Costs,RJD,ED & Hospital Stays,$490
Jul 2021,Major Costs,SAC,Total Labor Cost (All),$3073
Jul 2021,Major Costs,SAC,ED & Hospital Stays,$132
Jul 2021,Major Costs,SATF,Total Labor Cost (All),$1383
Jul 2021,Major Costs,SATF,ED & Hospital Stays,$102
Jul 2021,Major Costs,SCC,Total Labor Cost (All),$726
Jul 2021,Major Costs,SCC,ED & Hospital Stays,$34
Jul 2021,Major Costs,SOL,Total Labor Cost (All),$1121
Jul 2021,Major Costs,SOL,ED & Hospital Stays,$160
Jul 2021,Major Costs,SQ,Total Labor Cost (All),$2414
Jul 2021,Major Costs,SQ,ED & Hospital Stays,$504
Jul 2021,Major Costs,SVSP,Total Labor Cost (All),$2783
Jul 2021,Major Costs,SVSP,ED & Hospital Stays,$264
Jul 2021,Major Costs,VSP,Total Labor Cost (All),$1455
Jul 2021,Major Costs,VSP,ED & Hospital Stays,$110
Jul 2021,Major Costs,WSP,Total Labor Cost (All),$1877
Jul 2021,Major Costs,WSP,ED & Hospital Stays,$86
Jun 2021,Major Costs,SW,Total Labor Cost (All),$1897
Jun 2021,Major Costs,SW,ED & Hospital Stays,$172
Jun 2021,Major Costs,ASP,Total Labor Cost (All),$889
Jun 2021,Major Costs,ASP,ED & Hospital Stays,$95
Jun 2021,Major Costs,CAC,Total Labor Cost (All),$856
Jun 2021,Major Costs,CAC,ED & Hospital Stays,$77
Jun 2021,Major Costs,CAL,Total Labor Cost (All),$800
Jun 2021,Major Costs,CAL,ED & Hospital Stays,$55
Jun 2021,Major Costs,CCC,Total Labor Cost (All),$925
Jun 2021,Major Costs,CCC,ED & Hospital Stays,$28
Jun 2021,Major Costs,CCI,Total Labor Cost (All),$1284
Jun 2021,Major Costs,CCI,ED & Hospital Stays,$120
Jun 2021,Major Costs,CCWF,Total Labor Cost (All),$2415
Jun 2021,Major Costs,CCWF,ED & Hospital Stays,$107
Jun 2021,Major Costs,CEN,Total Labor Cost (All),$883
Jun 2021,Major Costs,CEN,ED & Hospital Stays,$124
Jun 2021,Major Costs,CHCF,Total Labor Cost (All),$9947
Jun 2021,Major Costs,CHCF,ED & Hospital Stays,$842
Jun 2021,Major Costs,CIM,Total Labor Cost (All),$2687
Jun 2021,Major Costs,CIM,ED & Hospital Stays,$461
Jun 2021,Major Costs,CIW,Total Labor Cost (All),$5483
Jun 2021,Major Costs,CIW,ED & Hospital Stays,$211
Jun 2021,Major Costs,CMC,Total Labor Cost (All),$2098
Jun 2021,Major Costs,CMC,ED & Hospital Stays,$154
Jun 2021,Major Costs,CMF,Total Labor Cost (All),$6375
Jun 2021,Major Costs,CMF,ED & Hospital Stays,$271
Jun 2021,Major Costs,COR,Total Labor Cost (All),$2221
Jun 2021,Major Costs,COR,ED & Hospital Stays,$80
Jun 2021,Major Costs,CRC,Total Labor Cost (All),$1489
Jun 2021,Major Costs,CRC,ED & Hospital Stays,$96
Jun 2021,Major Costs,CTF,Total Labor Cost (All),$978
Jun 2021,Major Costs,CTF,ED & Hospital Stays,$148
Jun 2021,Major Costs,CVSP,Total Labor Cost (All),$1144
Jun 2021,Major Costs,CVSP,ED & Hospital Stays,$187
Jun 2021,Major Costs,DVI,Total Labor Cost (All),$1970
Jun 2021,Major Costs,DVI,ED & Hospital Stays,$197
Jun 2021,Major Costs,FSP,Total Labor Cost (All),$1363
Jun 2021,Major Costs,FSP,ED & Hospital Stays,$73
Jun 2021,Major Costs,HDSP,Total Labor Cost (All),$983
Jun 2021,Major Costs,HDSP,ED & Hospital Stays,$134
Jun 2021,Major Costs,ISP,Total Labor Cost (All),$762
Jun 2021,Major Costs,ISP,ED & Hospital Stays,$88
Jun 2021,Major Costs,KVSP,Total Labor Cost (All),$1030
Jun 2021,Major Costs,KVSP,ED & Hospital Stays,$89
Jun 2021,Major Costs,LAC,Total Labor Cost (All),$2006
Jun 2021,Major Costs,LAC,ED & Hospital Stays,$171
Jun 2021,Major Costs,MCSP,Total Labor Cost (All),$1558
Jun 2021,Major Costs,MCSP,ED & Hospital Stays,$222
Jun 2021,Major Costs,NKSP,Total Labor Cost (All),$1844
Jun 2021,Major Costs,NKSP,ED & Hospital Stays,$64
Jun 2021,Major Costs,PBSP,Total Labor Cost (All),$1038
Jun 2021,Major Costs,PBSP,ED & Hospital Stays,$38
Jun 2021,Major Costs,PVSP,Total Labor Cost (All),$926
Jun 2021,Major Costs,PVSP,ED & Hospital Stays,$54
Jun 2021,Major Costs,RJD,Total Labor Cost (All),$2030
Jun 2021,Major Costs,RJD,ED & Hospital Stays,$526
Jun 2021,Major Costs,SAC,Total Labor Cost (All),$3078
Jun 2021,Major Costs,SAC,ED & Hospital Stays,$132
Jun 2021,Major Costs,SATF,Total Labor Cost (All),$1388
Jun 2021,Major Costs,SATF,ED & Hospital Stays,$100
Jun 2021,Major Costs,SCC,Total Labor Cost (All),$725
Jun 2021,Major Costs,SCC,ED & Hospital Stays,$35
Jun 2021,Major Costs,SOL,Total Labor Cost (All),$1107
Jun 2021,Major Costs,SOL,ED & Hospital Stays,$153
Jun 2021,Major Costs,SQ,Total Labor Cost (All),$2427
Jun 2021,Major Costs,SQ,ED & Hospital Stays,$498
Jun 2021,Major Costs,SVSP,Total Labor Cost (All),$2824
Jun 2021,Major Costs,SVSP,ED & Hospital Stays,$267
Jun 2021,Major Costs,VSP,Total Labor Cost (All),$1455
Jun 2021,Major Costs,VSP,ED & Hospital Stays,$116
Jun 2021,Major Costs,WSP,Total Labor Cost (All),$1950
Jun 2021,Major Costs,WSP,ED & Hospital Stays,$92
May 2021,Major Costs,SW,Total Labor Cost (All),$1898
May 2021,Major Costs,SW,ED & Hospital Stays,$172
May 2021,Major Costs,ASP,Total Labor Cost (All),$892
May 2021,Major Costs,ASP,ED & Hospital Stays,$70
May 2021,Major Costs,CAC,Total Labor Cost (All),$837
May 2021,Major Costs,CAC,ED & Hospital Stays,$83
May 2021,Major Costs,CAL,Total Labor Cost (All),$795
May 2021,Major Costs,CAL,ED & Hospital Stays,$52
May 2021,Major Costs,CCC,Total Labor Cost (All),$918
May 2021,Major Costs,CCC,ED & Hospital Stays,$27
May 2021,Major Costs,CCI,Total Labor Cost (All),$1280
May 2021,Major Costs,CCI,ED & Hospital Stays,$127
May 2021,Major Costs,CCWF,Total Labor Cost (All),$2424
May 2021,Major Costs,CCWF,ED & Hospital Stays,$98
May 2021,Major Costs,CEN,Total Labor Cost (All),$873
May 2021,Major Costs,CEN,ED & Hospital Stays,$123
May 2021,Major Costs,CHCF,Total Labor Cost (All),$10023
May 2021,Major Costs,CHCF,ED & Hospital Stays,$826
May 2021,Major Costs,CIM,Total Labor Cost (All),$2652
May 2021,Major Costs,CIM,ED & Hospital Stays,$495
May 2021,Major Costs,CIW,Total Labor Cost (All),$5459
May 2021,Major Costs,CIW,ED & Hospital Stays,$217
May 2021,Major Costs,CMC,Total Labor Cost (All),$2099
May 2021,Major Costs,CMC,ED & Hospital Stays,$144
May 2021,Major Costs,CMF,Total Labor Cost (All),$6365
May 2021,Major Costs,CMF,ED & Hospital Stays,$260
May 2021,Major Costs,COR,Total Labor Cost (All),$2221
May 2021,Major Costs,COR,ED & Hospital Stays,$82
May 2021,Major Costs,CRC,Total Labor Cost (All),$1466
May 2021,Major Costs,CRC,ED & Hospital Stays,$106
May 2021,Major Costs,CTF,Total Labor Cost (All),$971
May 2021,Major Costs,CTF,ED & Hospital Stays,$147
May 2021,Major Costs,CVSP,Total Labor Cost (All),$1151
May 2021,Major Costs,CVSP,ED & Hospital Stays,$202
May 2021,Major Costs,DVI,Total Labor Cost (All),$1933
May 2021,Major Costs,DVI,ED & Hospital Stays,$197
May 2021,Major Costs,FSP,Total Labor Cost (All),$1360
May 2021,Major Costs,FSP,ED & Hospital Stays,$82
May 2021,Major Costs,HDSP,Total Labor Cost (All),$984
May 2021,Major Costs,HDSP,ED & Hospital Stays,$139
May 2021,Major Costs,ISP,Total Labor Cost (All),$756
May 2021,Major Costs,ISP,ED & Hospital Stays,$63
May 2021,Major Costs,KVSP,Total Labor Cost (All),$1029
May 2021,Major Costs,KVSP,ED & Hospital Stays,$90
May 2021,Major Costs,LAC,Total Labor Cost (All),$2001
May 2021,Major Costs,LAC,ED & Hospital Stays,$172
May 2021,Major Costs,MCSP,Total Labor Cost (All),$1547
May 2021,Major Costs,MCSP,ED & Hospital Stays,$205
May 2021,Major Costs,NKSP,Total Labor Cost (All),$1895
May 2021,Major Costs,NKSP,ED & Hospital Stays,$62
May 2021,Major Costs,PBSP,Total Labor Cost (All),$1025
May 2021,Major Costs,PBSP,ED & Hospital Stays,$40
May 2021,Major Costs,PVSP,Total Labor Cost (All),$921
May 2021,Major Costs,PVSP,ED & Hospital Stays,$60
May 2021,Major Costs,RJD,Total Labor Cost (All),$2015
May 2021,Major Costs,RJD,ED & Hospital Stays,$550
May 2021,Major Costs,SAC,Total Labor Cost (All),$3088
May 2021,Major Costs,SAC,ED & Hospital Stays,$138
May 2021,Major Costs,SATF,Total Labor Cost (All),$1393
May 2021,Major Costs,SATF,ED & Hospital Stays,$104
May 2021,Major Costs,SCC,Total Labor Cost (All),$721
May 2021,Major Costs,SCC,ED & Hospital Stays,$39
May 2021,Major Costs,SOL,Total Labor Cost (All),$1087
May 2021,Major Costs,SOL,ED & Hospital Stays,$147
May 2021,Major Costs,SQ,Total Labor Cost (All),$2460
May 2021,Major Costs,SQ,ED & Hospital Stays,$536
May 2021,Major Costs,SVSP,Total Labor Cost (All),$2869
May 2021,Major Costs,SVSP,ED & Hospital Stays,$245
May 2021,Major Costs,VSP,Total Labor Cost (All),$1459
May 2021,Major Costs,VSP,ED & Hospital Stays,$107
May 2021,Major Costs,WSP,Total Labor Cost (All),$1981
May 2021,Major Costs,WSP,ED & Hospital Stays,$82
Apr 2021,Major Costs,SW,Total Labor Cost (All),$1878
Apr 2021,Major Costs,SW,ED & Hospital Stays,$166
Apr 2021,Major Costs,ASP,Total Labor Cost (All),$891
Apr 2021,Major Costs,ASP,ED & Hospital Stays,$67
Apr 2021,Major Costs,CAC,Total Labor Cost (All),$809
Apr 2021,Major Costs,CAC,ED & Hospital Stays,$60
Apr 2021,Major Costs,CAL,Total Labor Cost (All),$782
Apr 2021,Major Costs,CAL,ED & Hospital Stays,$49
Apr 2021,Major Costs,CCC,Total Labor Cost (All),$906
Apr 2021,Major Costs,CCC,ED & Hospital Stays,$23
Apr 2021,Major Costs,CCI,Total Labor Cost (All),$1258
Apr 2021,Major Costs,CCI,ED & Hospital Stays,$128
Apr 2021,Major Costs,CCWF,Total Labor Cost (All),$2395
Apr 2021,Major Costs,CCWF,ED & Hospital Stays,$97
Apr 2021,Major Costs,CEN,Total Labor Cost (All),$852
Apr 2021,Major Costs,CEN,ED & Hospital Stays,$115
Apr 2021,Major Costs,CHCF,Total Labor Cost (All),$9940
Apr 2021,Major Costs,CHCF,ED & Hospital Stays,$763
Apr 2021,Major Costs,CIM,Total Labor Cost (All),$2595
Apr 2021,Major Costs,CIM,ED & Hospital Stays,$532
Apr 2021,Major Costs,CIW,Total Labor Cost (All),$5391
Apr 2021,Major Costs,CIW,ED & Hospital Stays,$202
Apr 2021,Major Costs,CMC,Total Labor Cost (All),$2062
Apr 2021,Major Costs,CMC,ED & Hospital Stays,$111
Apr 2021,Major Costs,CMF,Total Labor Cost (All),$6311
Apr 2021,Major Costs,CMF,ED & Hospital Stays,$208
Apr 2021,Major Costs,COR,Total Labor Cost (All),$2186
Apr 2021,Major Costs,COR,ED & Hospital Stays,$77
Apr 2021,Major Costs,CRC,Total Labor Cost (All),$1432
Apr 2021,Major Costs,CRC,ED & Hospital Stays,$111
Apr 2021,Major Costs,CTF,Total Labor Cost (All),$929
Apr 2021,Major Costs,CTF,ED & Hospital Stays,$112
Apr 2021,Major Costs,CVSP,Total Labor Cost (All),$1153
Apr 2021,Major Costs,CVSP,ED & Hospital Stays,$223
Apr 2021,Major Costs,DVI,Total Labor Cost (All),$1887
Apr 2021,Major Costs,DVI,ED & Hospital Stays,$207
Apr 2021,Major Costs,FSP,Total Labor Cost (All),$1360
Apr 2021,Major Costs,FSP,ED & Hospital Stays,$84
Apr 2021,Major Costs,HDSP,Total Labor Cost (All),$971
Apr 2021,Major Costs,HDSP,ED & Hospital Stays,$148
Apr 2021,Major Costs,ISP,Total Labor Cost (All),$741
Apr 2021,Major Costs,ISP,ED & Hospital Stays,$52
Apr 2021,Major Costs,KVSP,Total Labor Cost (All),$1024
Apr 2021,Major Costs,KVSP,ED & Hospital Stays,$87
Apr 2021,Major Costs,LAC,Total Labor Cost (All),$1966
Apr 2021,Major Costs,LAC,ED & Hospital Stays,$163
Apr 2021,Major Costs,MCSP,Total Labor Cost (All),$1524
Apr 2021,Major Costs,MCSP,ED & Hospital Stays,$181
Apr 2021,Major Costs,NKSP,Total Labor Cost (All),$1910
Apr 2021,Major Costs,NKSP,ED & Hospital Stays,$46
Apr 2021,Major Costs,PBSP,Total Labor Cost (All),$1013
Apr 2021,Major Costs,PBSP,ED & Hospital Stays,$36
Apr 2021,Major Costs,PVSP,Total Labor Cost (All),$909
Apr 2021,Major Costs,PVSP,ED & Hospital Stays,$59
Apr 2021,Major Costs,RJD,Total Labor Cost (All),$1980
Apr 2021,Major Costs,RJD,ED & Hospital Stays,$530
Apr 2021,Major Costs,SAC,Total Labor Cost (All),$3063
Apr 2021,Major Costs,SAC,ED & Hospital Stays,$145
Apr 2021,Major Costs,SATF,Total Labor Cost (All),$1385
Apr 2021,Major Costs,SATF,ED & Hospital Stays,$110
Apr 2021,Major Costs,SCC,Total Labor Cost (All),$715
Apr 2021,Major Costs,SCC,ED & Hospital Stays,$37
Apr 2021,Major Costs,SOL,Total Labor Cost (All),$1067
Apr 2021,Major Costs,SOL,ED & Hospital Stays,$123
Apr 2021,Major Costs,SQ,Total Labor Cost (All),$2473
Apr 2021,Major Costs,SQ,ED & Hospital Stays,$601
Apr 2021,Major Costs,SVSP,Total Labor Cost (All),$2882
Apr 2021,Major Costs,SVSP,ED & Hospital Stays,$212
Apr 2021,Major Costs,VSP,Total Labor Cost (All),$1436
Apr 2021,Major Costs,VSP,ED & Hospital Stays,$109
Apr 2021,Major Costs,WSP,Total Labor Cost (All),$1987
Apr 2021,Major Costs,WSP,ED & Hospital Stays,$87
Mar 2021,Major Costs,SW,Total Labor Cost (All),$1865
Mar 2021,Major Costs,SW,ED & Hospital Stays,$159
Mar 2021,Major Costs,ASP,Total Labor Cost (All),$891
Mar 2021,Major Costs,ASP,ED & Hospital Stays,$75
Mar 2021,Major Costs,CAC,Total Labor Cost (All),$790
Mar 2021,Major Costs,CAC,ED & Hospital Stays,$27
Mar 2021,Major Costs,CAL,Total Labor Cost (All),$774
Mar 2021,Major Costs,CAL,ED & Hospital Stays,$47
Mar 2021,Major Costs,CCC,Total Labor Cost (All),$904
Mar 2021,Major Costs,CCC,ED & Hospital Stays,$19
Mar 2021,Major Costs,CCI,Total Labor Cost (All),$1247
Mar 2021,Major Costs,CCI,ED & Hospital Stays,$107
Mar 2021,Major Costs,CCWF,Total Labor Cost (All),$2398
Mar 2021,Major Costs,CCWF,ED & Hospital Stays,$105
Mar 2021,Major Costs,CEN,Total Labor Cost (All),$828
Mar 2021,Major Costs,CEN,ED & Hospital Stays,$107
Mar 2021,Major Costs,CHCF,Total Labor Cost (All),$9893
Mar 2021,Major Costs,CHCF,ED & Hospital Stays,$733
Mar 2021,Major Costs,CIM,Total Labor Cost (All),$2543
Mar 2021,Major Costs,CIM,ED & Hospital Stays,$574
Mar 2021,Major Costs,CIW,Total Labor Cost (All),$5342
Mar 2021,Major Costs,CIW,ED & Hospital Stays,$216
Mar 2021,Major Costs,CMC,Total Labor Cost (All),$2048
Mar 2021,Major Costs,CMC,ED & Hospital Stays,$109
Mar 2021,Major Costs,CMF,Total Labor Cost (All),$6314
Mar 2021,Major Costs,CMF,ED & Hospital Stays,$167
Mar 2021,Major Costs,COR,Total Labor Cost (All),$2160
Mar 2021,Major Costs,COR,ED & Hospital Stays,$71
Mar 2021,Major Costs,CRC,Total Labor Cost (All),$1398
Mar 2021,Major Costs,CRC,ED & Hospital Stays,$121
Mar 2021,Major Costs,CTF,Total Labor Cost (All),$895
Mar 2021,Major Costs,CTF,ED & Hospital Stays,$67
Mar 2021,Major Costs,CVSP,Total Labor Cost (All),$1156
Mar 2021,Major Costs,CVSP,ED & Hospital Stays,$236
Mar 2021,Major Costs,DVI,Total Labor Cost (All),$1862
Mar 2021,Major Costs,DVI,ED & Hospital Stays,$218
Mar 2021,Major Costs,FSP,Total Labor Cost (All),$1362
Mar 2021,Major Costs,FSP,ED & Hospital Stays,$75
Mar 2021,Major Costs,HDSP,Total Labor Cost (All),$943
Mar 2021,Major Costs,HDSP,ED & Hospital Stays,$161
Mar 2021,Major Costs,ISP,Total Labor Cost (All),$731
Mar 2021,Major Costs,ISP,ED & Hospital Stays,$56
Mar 2021,Major Costs,KVSP,Total Labor Cost (All),$1019
Mar 2021,Major Costs,KVSP,ED & Hospital Stays,$70
Mar 2021,Major Costs,LAC,Total Labor Cost (All),$1932
Mar 2021,Major Costs,LAC,ED & Hospital Stays,$147
Mar 2021,Major Costs,MCSP,Total Labor Cost (All),$1515
Mar 2021,Major Costs,MCSP,ED & Hospital Stays,$164
Mar 2021,Major Costs,NKSP,Total Labor Cost (All),$1981
Mar 2021,Major Costs,NKSP,ED & Hospital Stays,$50
Mar 2021,Major Costs,PBSP,Total Labor Cost (All),$1003
Mar 2021,Major Costs,PBSP,ED & Hospital Stays,$28
Mar 2021,Major Costs,PVSP,Total Labor Cost (All),$887
Mar 2021,Major Costs,PVSP,ED & Hospital Stays,$41
Mar 2021,Major Costs,RJD,Total Labor Cost (All),$1964
Mar 2021,Major Costs,RJD,ED & Hospital Stays,$423
Mar 2021,Major Costs,SAC,Total Labor Cost (All),$3026
Mar 2021,Major Costs,SAC,ED & Hospital Stays,$152
Mar 2021,Major Costs,SATF,Total Labor Cost (All),$1366
Mar 2021,Major Costs,SATF,ED & Hospital Stays,$101
Mar 2021,Major Costs,SCC,Total Labor Cost (All),$709
Mar 2021,Major Costs,SCC,ED & Hospital Stays,$33
Mar 2021,Major Costs,SOL,Total Labor Cost (All),$1063
Mar 2021,Major Costs,SOL,ED & Hospital Stays,$124
Mar 2021,Major Costs,SQ,Total Labor Cost (All),$2470
Mar 2021,Major Costs,SQ,ED & Hospital Stays,$699
Mar 2021,Major Costs,SVSP,Total Labor Cost (All),$2908
Mar 2021,Major Costs,SVSP,ED & Hospital Stays,$216
Mar 2021,Major Costs,VSP,Total Labor Cost (All),$1406
Mar 2021,Major Costs,VSP,ED & Hospital Stays,$110
Mar 2021,Major Costs,WSP,Total Labor Cost (All),$2033
Mar 2021,Major Costs,WSP,ED & Hospital Stays,$81
Feb 2021,Major Costs,SW,Total Labor Cost (All),$1854
Feb 2021,Major Costs,SW,ED & Hospital Stays,$165
Feb 2021,Major Costs,ASP,Total Labor Cost (All),$885
Feb 2021,Major Costs,ASP,ED & Hospital Stays,$85
Feb 2021,Major Costs,CAC,Total Labor Cost (All),$783
Feb 2021,Major Costs,CAC,ED & Hospital Stays,$30
Feb 2021,Major Costs,CAL,Total Labor Cost (All),$767
Feb 2021,Major Costs,CAL,ED & Hospital Stays,$40
Feb 2021,Major Costs,CCC,Total Labor Cost (All),$906
Feb 2021,Major Costs,CCC,ED & Hospital Stays,$20
Feb 2021,Major Costs,CCI,Total Labor Cost (All),$1236
Feb 2021,Major Costs,CCI,ED & Hospital Stays,$118
Feb 2021,Major Costs,CCWF,Total Labor Cost (All),$2393
Feb 2021,Major Costs,CCWF,ED & Hospital Stays,$118
Feb 2021,Major Costs,CEN,Total Labor Cost (All),$812
Feb 2021,Major Costs,CEN,ED & Hospital Stays,$83
Feb 2021,Major Costs,CHCF,Total Labor Cost (All),$9855
Feb 2021,Major Costs,CHCF,ED & Hospital Stays,$754
Feb 2021,Major Costs,CIM,Total Labor Cost (All),$2470
Feb 2021,Major Costs,CIM,ED & Hospital Stays,$634
Feb 2021,Major Costs,CIW,Total Labor Cost (All),$5290
Feb 2021,Major Costs,CIW,ED & Hospital Stays,$240
Feb 2021,Major Costs,CMC,Total Labor Cost (All),$2042
Feb 2021,Major Costs,CMC,ED & Hospital Stays,$117
Feb 2021,Major Costs,CMF,Total Labor Cost (All),$6303
Feb 2021,Major Costs,CMF,ED & Hospital Stays,$172
Feb 2021,Major Costs,COR,Total Labor Cost (All),$2124
Feb 2021,Major Costs,COR,ED & Hospital Stays,$73
Feb 2021,Major Costs,CRC,Total Labor Cost (All),$1345
Feb 2021,Major Costs,CRC,ED & Hospital Stays,$132
Feb 2021,Major Costs,CTF,Total Labor Cost (All),$876
Feb 2021,Major Costs,CTF,ED & Hospital Stays,$49
Feb 2021,Major Costs,CVSP,Total Labor Cost (All),$1106
Feb 2021,Major Costs,CVSP,ED & Hospital Stays,$157
Feb 2021,Major Costs,DVI,Total Labor Cost (All),$1834
Feb 2021,Major Costs,DVI,ED & Hospital Stays,$236
Feb 2021,Major Costs,FSP,Total Labor Cost (All),$1345
Feb 2021,Major Costs,FSP,ED & Hospital Stays,$71
Feb 2021,Major Costs,HDSP,Total Labor Cost (All),$911
Feb 2021,Major Costs,HDSP,ED & Hospital Stays,$175
Feb 2021,Major Costs,ISP,Total Labor Cost (All),$720
Feb 2021,Major Costs,ISP,ED & Hospital Stays,$59
Feb 2021,Major Costs,KVSP,Total Labor Cost (All),$1017
Feb 2021,Major Costs,KVSP,ED & Hospital Stays,$69
Feb 2021,Major Costs,LAC,Total Labor Cost (All),$1903
Feb 2021,Major Costs,LAC,ED & Hospital Stays,$137
Feb 2021,Major Costs,MCSP,Total Labor Cost (All),$1516
Feb 2021,Major Costs,MCSP,ED & Hospital Stays,$168
Feb 2021,Major Costs,NKSP,Total Labor Cost (All),$2102
Feb 2021,Major Costs,NKSP,ED & Hospital Stays,$39
Feb 2021,Major Costs,PBSP,Total Labor Cost (All),$992
Feb 2021,Major Costs,PBSP,ED & Hospital Stays,$34
Feb 2021,Major Costs,PVSP,Total Labor Cost (All),$875
Feb 2021,Major Costs,PVSP,ED & Hospital Stays,$32
Feb 2021,Major Costs,RJD,Total Labor Cost (All),$1946
Feb 2021,Major Costs,RJD,ED & Hospital Stays,$438
Feb 2021,Major Costs,SAC,Total Labor Cost (All),$3017
Feb 2021,Major Costs,SAC,ED & Hospital Stays,$150
Feb 2021,Major Costs,SATF,Total Labor Cost (All),$1331
Feb 2021,Major Costs,SATF,ED & Hospital Stays,$95
Feb 2021,Major Costs,SCC,Total Labor Cost (All),$707
Feb 2021,Major Costs,SCC,ED & Hospital Stays,$36
Feb 2021,Major Costs,SOL,Total Labor Cost (All),$1070
Feb 2021,Major Costs,SOL,ED & Hospital Stays,$131
Feb 2021,Major Costs,SQ,Total Labor Cost (All),$2469
Feb 2021,Major Costs,SQ,ED & Hospital Stays,$816
Feb 2021,Major Costs,SVSP,Total Labor Cost (All),$2923
Feb 2021,Major Costs,SVSP,ED & Hospital Stays,$206
Feb 2021,Major Costs,VSP,Total Labor Cost (All),$1380
Feb 2021,Major Costs,VSP,ED & Hospital Stays,$119
Feb 2021,Major Costs,WSP,Total Labor Cost (All),$2147
Feb 2021,Major Costs,WSP,ED & Hospital Stays,$91
Jan 2021,Major Costs,SW,Total Labor Cost (All),$1855
Jan 2021,Major Costs,SW,ED & Hospital Stays,$165
Jan 2021,Major Costs,ASP,Total Labor Cost (All),$871
Jan 2021,Major Costs,ASP,ED & Hospital Stays,$70
Jan 2021,Major Costs,CAC,Total Labor Cost (All),$787
Jan 2021,Major Costs,CAC,ED & Hospital Stays,$38
Jan 2021,Major Costs,CAL,Total Labor Cost (All),$777
Jan 2021,Major Costs,CAL,ED & Hospital Stays,$43
Jan 2021,Major Costs,CCC,Total Labor Cost (All),$891
Jan 2021,Major Costs,CCC,ED & Hospital Stays,$18
Jan 2021,Major Costs,CCI,Total Labor Cost (All),$1225
Jan 2021,Major Costs,CCI,ED & Hospital Stays,$121
Jan 2021,Major Costs,CCWF,Total Labor Cost (All),$2385
Jan 2021,Major Costs,CCWF,ED & Hospital Stays,$116
Jan 2021,Major Costs,CEN,Total Labor Cost (All),$816
Jan 2021,Major Costs,CEN,ED & Hospital Stays,$87
Jan 2021,Major Costs,CHCF,Total Labor Cost (All),$9877
Jan 2021,Major Costs,CHCF,ED & Hospital Stays,$655
Jan 2021,Major Costs,CIM,Total Labor Cost (All),$2396
Jan 2021,Major Costs,CIM,ED & Hospital Stays,$607
Jan 2021,Major Costs,CIW,Total Labor Cost (All),$5356
Jan 2021,Major Costs,CIW,ED & Hospital Stays,$229
Jan 2021,Major Costs,CMC,Total Labor Cost (All),$2049
Jan 2021,Major Costs,CMC,ED & Hospital Stays,$81
Jan 2021,Major Costs,CMF,Total Labor Cost (All),$6286
Jan 2021,Major Costs,CMF,ED & Hospital Stays,$163
Jan 2021,Major Costs,COR,Total Labor Cost (All),$2065
Jan 2021,Major Costs,COR,ED & Hospital Stays,$83
Jan 2021,Major Costs,CRC,Total Labor Cost (All),$1257
Jan 2021,Major Costs,CRC,ED & Hospital Stays,$111
Jan 2021,Major Costs,CTF,Total Labor Cost (All),$874
Jan 2021,Major Costs,CTF,ED & Hospital Stays,$35
Jan 2021,Major Costs,CVSP,Total Labor Cost (All),$1093
Jan 2021,Major Costs,CVSP,ED & Hospital Stays,$132
Jan 2021,Major Costs,DVI,Total Labor Cost (All),$1833
Jan 2021,Major Costs,DVI,ED & Hospital Stays,$163
Jan 2021,Major Costs,FSP,Total Labor Cost (All),$1304
Jan 2021,Major Costs,FSP,ED & Hospital Stays,$62
Jan 2021,Major Costs,HDSP,Total Labor Cost (All),$911
Jan 2021,Major Costs,HDSP,ED & Hospital Stays,$205
Jan 2021,Major Costs,ISP,Total Labor Cost (All),$710
Jan 2021,Major Costs,ISP,ED & Hospital Stays,$68
Jan 2021,Major Costs,KVSP,Total Labor Cost (All),$1032
Jan 2021,Major Costs,KVSP,ED & Hospital Stays,$68
Jan 2021,Major Costs,LAC,Total Labor Cost (All),$1896
Jan 2021,Major Costs,LAC,ED & Hospital Stays,$139
Jan 2021,Major Costs,MCSP,Total Labor Cost (All),$1532
Jan 2021,Major Costs,MCSP,ED & Hospital Stays,$182
Jan 2021,Major Costs,NKSP,Total Labor Cost (All),$2219
Jan 2021,Major Costs,NKSP,ED & Hospital Stays,$34
Jan 2021,Major Costs,PBSP,Total Labor Cost (All),$988
Jan 2021,Major Costs,PBSP,ED & Hospital Stays,$38
Jan 2021,Major Costs,PVSP,Total Labor Cost (All),$877
