GEOID,flood_bam_100_pct,flood_bam_500_pct,flood_verywet_pre_pct,flood_verywet_fut_pct,flood_hazard_idx_norm,flood_hazard_fut_idx_norm
06081608400,14.450867052023122,14.450867052023122,25.408159421965305,24.060739768786103,33.315881027447965,27.599910161778222
06081608501,11.042944785276074,11.042944785276074,25.477927484662565,24.254162699386512,30.836198286953113,25.548394641470445
06081608502,0.0,0.0,25.04194631578943,23.219041052631564,21.679226855452388,16.35582100349624
06037219010,0.0,24.615384615384617,23.463299999999965,25.129950000000004,19.004170522213528,36.23953815407892
06037530006,0.0,0.0,22.82081999999998,25.554740000000024,17.915471821441038,19.93254883473644
06037209520,0.0,0.0,24.30479000000001,26.31151,20.43009672958669,21.091414074581312
06037208720,0.0,0.0,23.324619090909096,27.71674272727273,18.76917219456258,23.243290287339256
06037208710,0.0,0.0,22.114194545454556,27.337903181818184,16.718077016472186,22.663161607944037
06037181300,0.0,0.0,25.394843701657496,31.140040386740242,22.277220451362894,28.48549156804453
06037300901,0.0,0.0,25.11471092421448,30.16401072088709,21.802528335116463,26.990867239893763
06073008002,0.0,0.0,28.402191621621686,29.57689513513513,27.373247990330533,26.091799036742035
06073010110,4.285714285714286,10.952380952380953,24.730631999999947,27.851406333333415,24.418756379646346,30.994575535697116
06073010111,0.0,0.0,24.44072363636364,27.085770454545443,20.66043973372747,22.277062986878622
06073010112,6.382978723404255,50.0,24.780459999999962,27.98300000000001,26.101965015422994,58.0959063088493
06073010300,0.0,0.0,24.368660000000062,27.409219999999994,20.538326069050015,22.772371251041992
06073010401,0.0,0.0,24.368660000000013,27.40922,20.53832606904993,22.772371251042003
06073012600,2.18978102189781,78.1021897810219,24.816572116788336,27.710765620437922,22.966625043220944,77.03856102613375
06073012700,0.0,0.0,24.43645999999994,29.02977000000006,20.653214893468274,25.253969443928526
06073012800,0.0,0.0,24.43645999999993,29.02977000000007,20.653214893468256,25.253969443928543
06073012900,1.1494252873563218,4.597701149425287,24.52555942528733,28.465043333333334,21.680419003643244,27.556532110485982
06073013000,0.0,2.1505376344086025,24.795580430107513,28.090153602150465,21.26175359611891,25.296606437280577
06081608600,5.442176870748299,29.25170068027211,24.566182789115672,22.029759591836658,25.02168050690094,34.686068728188
06081608700,0.0,0.9584664536741214,24.608243354632528,22.347492396166125,20.944306157013976,15.681477061122036
06081609000,4.938271604938271,6.172839506172839,24.560506666666637,22.117395555555596,24.627928187126642,18.92129259360789
06081609300,5.263157894736842,7.518796992481203,24.174543533834594,22.869513834586435,24.221569175021145,21.000261608348918
06073008101,2.027027027027027,2.027027027027027,26.324200000000015,30.101900000000054,25.397269204415245,28.292169557840097
06073008102,3.125,3.125,26.426358437500014,30.133241406249976,26.407379328738923,29.096554742486173
06073008301,0.0,0.0,27.892612823529507,29.888979764705873,26.509753756386793,26.56970385471766
06073008306,0.0,0.0,27.484442916666822,30.43003770833325,25.8180994678551,27.39824257006278
06073010402,0.0,0.0,24.36866000000004,27.40922,20.53832606904998,22.772371251042003
06073010501,1.8181818181818181,1.8181818181818181,24.7246621818182,27.790086181818168,22.527606084401736,24.608144764780203
06073010502,3.3333333333333335,3.3333333333333335,24.36866000000005,27.40922,23.079372385900705,25.068697120934537
06073010601,25.97402597402597,25.97402597402597,24.939073441558342,27.45952603896106,41.30526706413435,40.742854776770116
06073013205,9.523809523809524,19.047619047619047,25.08257682539683,27.31595714285715,29.008208621233646,35.75141707533711
06073013102,0.0,1.7543859649122806,24.594358947368452,27.111801754385894,20.920778675770364,23.525518082232924
06073013103,0.0,35.064935064935064,25.139580000000016,27.190100000000022,21.844669616552657,46.592981292078086
06073013104,0.0,35.65891472868217,25.13958000000002,27.190099999999934,21.844669616552657,47.00217255249372
06073013203,0.0,0.0,24.531540000000035,27.10278043478256,20.814330371723713,22.303110894204814
06073013204,0.0,0.0,24.49213000000003,27.097120833333324,20.74754912437368,22.294444171963057
06081609900,0.546448087431694,0.546448087431694,23.652845846994587,23.27606306010924,19.74192575081169,16.8195874260267
06081610000,0.0,1.6853932584269662,23.289130000000082,23.559499999999947,18.70903502739124,18.038239931462012
06081610100,24.65753424657534,36.986301369863014,23.289130000000046,23.559500000000018,37.50581600135533,42.35695648955907
06081610201,15.730337078651685,29.213483146067414,22.09502000000004,22.24408651685396,28.677039790474424,34.9879461845825
06073010109,15.068493150684931,91.78082191780823,23.61325616438363,24.900463424657563,30.74519676304326,82.15823765593352
06073008307,0.0,0.0,26.631415944700517,29.532614423963253,24.37262356805491,26.02399061810401
06073008327,0.0,0.0,29.953718823529545,33.545768566176406,30.002350295352166,32.16945732205691
06073008330,0.0,0.0,29.750773495145737,33.14949786407762,29.658454274714472,31.56263577491415
06073010900,0.0,0.0,23.83143999999997,28.837539999999994,19.62799311544973,24.959601716540465
06073011000,1.1627906976744187,1.1627906976744187,23.831439999999972,28.837539999999994,20.514404621327895,25.760645624642514
06073011100,3.076923076923077,3.076923076923077,23.831439999999958,28.837539999999994,21.973574331004215,27.079287134902806
06073013306,1.89873417721519,1.89873417721519,23.58570000000006,26.966950000000004,20.659011881630494,23.403143283757753
06073013206,0.0,0.0,25.137263096774213,27.195215483870882,21.840743565108646,22.444659535577774
06073013301,0.4524886877828055,0.904977375565611,23.66556380090493,27.121890904977366,19.691850091256544,22.955812234336122
06073013302,0.0,0.0,23.58570000000003,26.96695,19.211580435323082,22.09510956040124
06073013303,0.0,0.0,23.585700000000063,26.96695,19.211580435323135,22.09510956040124
06081610203,4.0,50.0,23.23969940000001,23.50504799999999,21.674529198699,51.238680310865746
06081610303,12.333333333333334,12.333333333333334,24.059614433333422,22.627458366666712,29.416511868446765,23.946317910625176
06081610400,22.06896551724138,35.172413793103445,21.084162620689618,21.01169758620683,31.796140785515774,37.20584498861858
06081610500,0.0,0.0,20.81759999999999,20.83689999999996,14.520964581742527,12.707974944188487
06081610601,0.0,0.0,21.03184081818185,21.01168327272726,14.884001097131375,12.975625960045356
06081610602,0.0,0.0,20.840870066225136,20.852159271523114,14.560396300809586,12.731341937269
06095250400,0.0,0.0,25.510334187500078,24.42009137500004,22.47292201699669,18.195026402623252
06095250501,0.0,0.0,24.710501666666715,24.64565933333341,21.11758546758366,18.54044557375229
