facilityid,name,cdcr_code,latitude,longitude,cell_lat,cell_lon,cell_dist_km,contained_cell_valid,mask_override,note,cell_key
10001528,Santa Cruz Blaine Street Facility,,36.98062037922893,-122.02368691172828,36.984375,-122.015625,0.827,True,False,,"36.984375,-122.015625"
10005259,Shasta County Juvenile Hall,,40.54877363345071,-122.37903034906776,40.546875,-122.390625,1.0,True,False,,"40.546875,-122.390625"
10002321,Sonoma County Main Adult Detention Facility,,38.46729912018051,-122.72636627453036,38.453125,-122.734375,1.72,True,False,,"38.453125,-122.734375"
10005268,Tehama County Juvenile Detention Facility,,40.17081458396152,-122.2535441639448,40.171875,-122.265625,1.031,True,False,,"40.171875,-122.265625"
10005247,Siskiyou County Jail,,41.73061853007981,-122.63942281132562,41.734375,-122.640625,0.429,True,False,,"41.734375,-122.640625"
10005279,Maxine Singer Youth Guidance Center,,39.150533216033175,-121.59901636846423,39.140625,-121.609375,1.416,True,False,,"39.140625,-121.609375"
10002337,Tulare County Adult Pre-Trial Facility,,36.455097924738425,-119.3212963420362,36.453125,-119.328125,0.648,True,False,,"36.453125,-119.328125"
10002329,Stanislaus County Juvenile Hall And Commitment Facility,,37.6621433321267,-121.04312110071773,37.671875,-121.046875,1.129,True,False,,"37.671875,-121.046875"
10002335,Tulare County Juvenile Detention Facility,,36.459985601850285,-119.32306031943332,36.453125,-119.328125,0.886,True,False,,"36.453125,-119.328125"
10005255,Trinity County Juvenile Hall,,40.74978944878197,-122.9239474369582,40.734375,-122.921875,1.72,True,False,,"40.734375,-122.921875"
