facility,year,month,gridmet_days_over_90f,gridmet_days_over_95f,gridmet_days_over_avg_plus10_base1991_2020,dental_mh_overtime,modified_programs_days,deaths_unexpected,uof_incidents,violent_incidents,inmate_on_inmate,staff_involved,ed_hospital_rate,ed_hospital_cost,total_labor_cost,specialty_care_referrals,prescriptions_per_patient,actual_expenditure_monthly,institution_budget,vacancy_all,vacancy_medical,vacancy_dental,vacancy_mh,crowding_pct,ac_type,security_level,post_ac
SAC,2017,11,0,0,0,,,,,,,,15.8,128.0,2834.0,46.0,3.4,,,13.0,15.0,0.0,13.0,114.3,mixed_evaporative,MAXIMUM,0
SAC,2017,12,0,0,0,,,,,,,,19.4,286.0,2821.0,5.0,3.4,,,13.0,15.0,0.0,13.0,113.2,mixed_evaporative,MAXIMUM,0
SAC,2018,1,0,0,0,,,,,,,,11.9,231.0,2855.0,17.0,3.6,,,16.0,17.0,4.0,16.0,116.1,mixed_evaporative,MAXIMUM,0
SAC,2018,2,0,0,0,,,,,,,,18.4,236.0,2871.0,53.0,3.7,,,14.0,18.0,0.0,9.0,118.3,mixed_evaporative,MAXIMUM,0
SAC,2018,3,0,0,0,,,,,,,,17.5,237.0,2865.0,54.0,3.7,,,14.0,18.0,0.0,11.0,117.5,mixed_evaporative,MAXIMUM,0
SAC,2018,4,0,0,0,,,,,,,,20.5,242.0,2880.0,57.0,3.7,,,14.0,17.0,0.0,10.0,116.6,mixed_evaporative,MAXIMUM,0
SAC,2018,5,2,1,0,,,,,,,,18.6,263.0,2886.0,62.0,3.5,,,14.0,16.0,0.0,11.0,119.4,mixed_evaporative,MAXIMUM,0
SAC,2018,6,15,8,0,,,,,,,,19.2,255.0,2854.0,38.0,3.4,,,14.0,16.0,0.0,11.0,117.2,mixed_evaporative,MAXIMUM,0
SAC,2018,7,29,25,6,,,,,,,,22.3,262.0,2856.0,67.0,3.4,,,19.0,18.0,0.0,22.0,116.6,mixed_evaporative,MAXIMUM,0
SAC,2018,8,18,12,0,,,,,,,,20.2,256.0,2853.0,41.0,3.4,,,19.0,18.0,0.0,23.0,115.5,mixed_evaporative,MAXIMUM,0
SAC,2018,9,16,2,0,,,,,,,,15.4,253.0,2847.0,50.0,3.4,,,17.0,16.0,0.0,22.0,113.8,mixed_evaporative,MAXIMUM,0
SAC,2018,10,0,0,0,,,,,,,,17.4,256.0,2832.0,52.0,3.5,,,17.0,16.0,0.0,22.0,111.5,mixed_evaporative,MAXIMUM,0
SAC,2018,11,0,0,0,,,,,,,,20.1,254.0,2798.0,5.0,3.5,,,16.0,14.0,4.0,21.0,110.7,mixed_evaporative,MAXIMUM,0
SAC,2018,12,0,0,0,,,,,,,,15.7,227.0,2768.0,44.0,3.5,,,15.0,13.0,4.0,21.0,112.5,mixed_evaporative,MAXIMUM,0
SAC,2019,1,0,0,0,,,,,,,,17.6,233.0,2779.0,21.0,3.6,,,15.0,13.0,4.0,19.0,115.3,mixed_evaporative,MAXIMUM,0
SAC,2019,2,0,0,0,,,,,,,,23.2,231.0,2818.0,12.0,3.5,,,12.0,14.0,4.0,11.0,111.8,mixed_evaporative,MAXIMUM,0
SAC,2019,3,0,0,0,,,,,,,,27.0,241.0,2790.0,54.0,3.5,,,12.0,12.0,4.0,12.0,112.5,mixed_evaporative,MAXIMUM,0
SAC,2019,4,0,0,0,,,,,,,,31.6,263.0,2818.0,43.0,3.4,,,13.0,15.0,0.0,12.0,114.9,mixed_evaporative,MAXIMUM,0
SAC,2019,5,0,0,0,,,,,,,,25.9,254.0,2829.0,34.0,3.5,,,14.0,16.0,0.0,12.0,114.9,mixed_evaporative,MAXIMUM,0
SAC,2019,6,13,6,0,,,,,,,,25.1,243.0,2841.0,19.0,3.4,,,15.0,17.0,0.0,12.0,115.5,mixed_evaporative,MAXIMUM,0
