facilityid,name,cdcr_code,tract_geoid,loca2_days_over_avg_plus10_historic,loca2_days_over_avg_plus10_midcentury,loca2_nights_over_p95_historic,loca2_nights_over_p95_midcentury,loca2_days_over_90_historic,loca2_days_over_90_midcentury,loca2_avg_summer_tmax_f,loca2_p95_tmin_f,AQI_norm,heat_hazard_historic_idx,heat_hazard_midcentury_idx
10005256,Trinity River Conservation Camp #3,,6105000102,10.121,31.142,14.52,45.701,55.066,86.481,88.208,55.176,7.923653577222203,22.73732386015954,70.78754152960578
10000877,Rainbow Conservation Camp #2,,6073019002,12.733,36.559,13.909,42.632,45.059,84.351,85.797,65.899,35.608917774031276,27.12529758151603,80.23365920549537
10006497,Seal Beach Detention Center,,6059099504,18.707,29.679,12.374,32.138,4.83,8.331,73.701,68.827,57.54877530430002,34.77418132598864,66.72480000697276
10006316,Fontana City Jail,,6071003000,9.3,33.338,14.66,49.486,101.259,139.662,93.61,70.172,69.16961716675699,25.89636801793569,89.91441405588228
10006317,Garden Grove City Jail,,6059088602,14.429,30.369,13.138,37.519,20.969,41.402,81.684,69.413,60.84203554829948,30.396147020048865,73.168664350784
10000884,Ventura County East County Jail,,6111007510,14.938,36.22,13.746,39.535,36.981,70.229,84.182,69.313,25.52935617948823,28.771876769210287,75.02634035272996
10000815,Santa Cruz County Juvenile Hall,,6087120800,16.483,34.125,14.548,48.887,18.732,38.114,80.638,55.216,12.889746209545294,30.12233633076734,77.72174128248943
10001535,Riverside County Blythe Jail,,6065046102,2.054,15.991,14.137,42.472,181.291,204.967,107.149,82.18,51.11598092556298,15.367185321836097,58.21926280028493
10005370,Lapd Hollywood Area Jail,,6037190802,13.109,33.45,13.809,43.29,21.593,47.901,82.026,68.428,80.32546342391116,30.811653301051944,86.49621442023543
10005368,Lapd Metropolitan Detention Center,,6037207400,11.727,31.008,13.691,44.433,19.709,45.589,82.04,70.472,88.6658137893167,29.453528224074336,86.09073102556818
10006228,Camp Scott,,6037920049,10.667,31.905,14.463,47.836,92.252,133.01,92.674,69.159,37.603332453175085,25.31135697517866,79.71941549176954
10006230,Transitional Facilities,,6081610302,12.598,26.09,13.42,46.438,16.92,34.348,81.472,60.411,32.16731492099454,26.292297145727428,70.55885934110584
10005369,Lapd Foothill Area Jail,,6037104824,11.529,34.599,14.453,46.612,77.293,117.868,90.181,69.191,68.3494535001042,28.505142391518213,88.61936945655921
10005371,Lapd Valley Jail Section,,6037128210,13.194,35.883,14.582,49.142,60.256,98.701,87.771,69.1,77.81799186947347,31.487664558762745,94.85223307810358
10005283,Washington Ridge Conservation Camp #44,,6057000801,7.795,31.584,15.227,52.803,31.591,71.135,85.06,63.898,25.54010969750068,21.846197438571167,80.9724458132937
10005340,Cois M. Byrd Detention Center,,6065043296,11.462,35.86,14.185,47.213,84.914,126.846,90.651,64.305,41.3390431973909,26.270892976464523,84.7007339701922
10005341,Indio Juvenile Hall,,6065045501,2.67,15.648,14.335,41.875,187.064,213.658,107.538,83.745,58.385437963243625,16.611344616759222,58.33846278554825
10006222,Camp Miller,,6037800406,14.514,38.816,13.767,41.051,18.365,45.367,80.982,69.646,24.456657328598137,28.219376832542288,79.04908043464958
10006225,Camp Paige,,6037400205,9.38,33.239,14.372,44.481,43.327,83.425,86.103,68.855,46.525583186110225,24.277908668994925,80.24215207555919
10005300,Stanislaus County Men's Jail,,6099001800,6.808,22.825,14.422,42.71,95.43,124.446,94.36,68.239,77.1271723650062,22.912309077544137,71.34339410295377
10005352,Santa Barbara County Medium Security Facility,,6083000101,13.355,27.543,12.996,30.383,14.07,28.583,80.193,68.257,27.511102613320855,26.46767473463687,57.6400217845547
10000799,California Health Care Facility (CHCF),CHCF,6077005131,8.81,25.529,14.806,51.188,81.508,116.528,91.984,63.196,48.033732767090356,24.071615842618638,77.22066510794559
10001537,East Mesa Reentry Facility,,6073021302,13.601,31.518,13.251,33.669,19.185,41.537,81.449,67.216,31.91847474468305,27.29792251043251,65.81554562958145
10006712,Stanislaus County Public Safety Center Unit 1 And Unit 2,,6099002506,6.7,22.973,14.56,45.331,88.588,120.866,92.961,65.207,73.56044548906982,22.705657788638973,73.43646881383997
10006483,Arcadia Police Department Jail,,6037430721,9.751,30.65,14.479,47.295,97.979,138.497,92.261,70.632,75.33121681767051,26.706292423512863,85.6679182874351
10006484,Azusa Police Department Jail,,6037400602,9.216,30.125,14.377,43.441,90.918,130.042,91.759,70.134,65.90794573862163,25.31240462022717,79.38651888343496
10006485,Beverly Hills Jail,,6037700801,14.226,31.997,13.199,37.463,11.459,27.011,79.164,68.308,74.35874883877024,31.23306203053966,77.74242531566628
10005273,Chamberlain Creek Conservation Camp #17,,6045010300,14.6,33.47,13.03,43.817,6.879,19.018,77.091,54.388,6.051648981067033,26.26969940000431,71.4099558715202
10002352,Burbank City Jail,,6037310704,11.945,34.62,14.205,47.33,47.372,85.513,86.132,69.535,89.12826860941627,30.293051215595245,93.94888519184066
10000780,Folsom State Prison (FOL),FOL,6067988300,10.096,27.782,15.022,45.32,84.094,114.717,92.753,66.108,42.258666363697984,25.440693630091328,73.5430350330605
10002344,McFarland Female Community Reentry Facility,,6029004703,4.711,20.674,14.084,43.693,110.628,138.849,96.083,67.56,74.39821234192192,19.704915480059665,69.0168301526359
10000895,Alhambra City Jail,,6037481001,11.192,31.931,14.032,46.167,53.206,93.341,86.94,68.922,84.33842239687633,28.774850314625212,88.15039153787286
10002314,Placer County Jail,,6061021501,9.492,30.685,14.308,43.781,76.962,109.89,91.495,69.013,28.290627662268918,23.187041206172125,72.84361696586042
10000782,Mule Creek State Prison (MCSP),MCSP,6005000301,9.624,28.179,14.527,47.716,91.38,121.583,93.399,59.955,23.079087058140587,23.187554999795797,72.25773356934498
10005351,Youth Leadership Academy,,6059076102,13.86,31.142,13.309,38.776,30.4,57.529,83.595,69.516,75.57691582156362,30.954965500674632,78.12774509922986
10005345,Youth Guidance Center,,6059075301,13.86,31.142,13.309,38.776,30.4,57.529,83.595,69.516,71.18308772014844,30.622347774471148,77.28824576501981
10005346,Theo Lacy Facility,,6059076102,13.86,31.142,13.309,38.776,30.4,57.529,83.595,69.516,75.57691582156362,30.954965500674632,78.12774509922986
10005348,Joplin Youth Center,,6059032041,13.472,36.311,13.319,36.405,21.066,49.86,81.871,71.307,29.01071403561731,26.989636147311273,73.17869920451093
10005350,Central Jail Complex,,6059075100,14.461,29.819,12.986,36.249,19.199,37.577,81.256,69.623,57.31795467929622,30.023945224893488,70.65596804318531
10005333,High Desert Juvenile Detention And Assesment Center,,6071012101,3.482,20.225,13.961,40.567,89.813,124.128,93.236,67.096,39.62133465681414,16.452633378598104,59.83988712891506
10001536,Robert Presley Detention Center,,6065030300,9.643,33.997,14.719,50.706,103.21,141.948,93.487,68.963,92.17508763074912,27.901731372671595,97.17570344773583
10005347,Orange County Juvenile Hall,,6059076102,13.86,31.142,13.309,38.776,30.4,57.529,83.595,69.516,75.57691582156362,30.954965500674632,78.12774509922986
10006231,San Benito County Juvenile Hall,,6069000100,19.151,35.014,13.664,52.801,23.494,41.649,81.121,58.173,11.659098930068499,32.232573457561635,81.61617525924103
10000862,John J. Benoit Detention Center,,6065045501,2.67,15.648,14.335,41.875,187.064,213.658,107.538,83.745,58.385437963243625,16.611344616759222,58.33846278554825
10005269,Plumas County Correctional Facility,,6063000100,9.32,34.486,15.06,49.024,28.269,65.805,84.193,51.654,24.65839119976818,23.393915896683804,80.89208197888154
10000779,Rio Cosumnes Correctional Center,,6067009653,11.097,29.142,14.619,50.56,77.204,111.697,91.305,59.876,21.010427113708136,24.796154605818195,75.30960612840872
10005330,Regional Youth Educational Facility,,6071006301,8.95,33.078,15.048,51.896,109.961,148.075,94.87,69.405,75.17008676034534,26.200670577014034,93.24283314927663
10000860,Riverside County Juvenile Hall,,6065031602,10.389,34.356,14.73,49.451,93.379,132.947,92.031,68.767,72.80088256080695,27.60901203231299,92.01176672388807
10006706,South Placer Jail,,6061023000,9.798,27.876,14.346,49.97,97.178,124.53,94.951,66.691,54.72235620972956,25.295727524337046,80.36509425962274
10001538,George F Bailey Detention Facility,,6073021302,13.601,31.518,13.251,33.669,19.185,41.537,81.449,67.216,31.91847474468305,27.29792251043251,65.81554562958145
10005344,Southwest Juvenile Hall,,6065043296,11.462,35.86,14.185,47.213,84.914,126.846,90.651,64.305,41.3390431973909,26.270892976464523,84.7007339701922
10005354,East Mesa Juvenile Detention Facility,,6073021302,13.601,31.518,13.251,33.669,19.185,41.537,81.449,67.216,31.91847474468305,27.29792251043251,65.81554562958145
