cdcr_code,name,latitude,longitude,average_2025_population,exposure_score,vulnerability_score,AQI_norm,ratio_indoor_to_outdoor,days_indoor_above_78f_2025,uhi_normalized,pct_units_refrigeration,medical_acuity,cchcs_age_over_50_pct_2025,cchcs_mental_health_eop_pct_2025,cchcs_dpp_pct_2025,race_peopleofcolor_pct,gender_female_pct,rhu_pct_2025,dist_nearest_medical_mi,in_urban_area_2020,california_model_facility,year_opened,hazard_score,risk_score,risk_category,time_period,index_version
SOL,"California State Prison, Solano",38.320776607604,-121.97523692020748,3735.0,0.63,0.32,40.62387437615521,1.089,159,0.5815,0.1343,43.8,28.5,0.0,14.3,0.9250111557340472,0.0,2.95,0.52,True,,1984.0,0.3,52.6,Moderate,current,v0.2
SOL,"California State Prison, Solano",38.320776607604,-121.97523692020748,3735.0,0.63,0.32,40.62387437615521,1.089,159,0.5815,0.1343,43.8,28.5,0.0,14.3,0.9250111557340472,0.0,2.95,0.52,True,,1984.0,0.76,78.37,High,midcentury,v0.2
SQ,San Quentin State Prison,37.940039851419016,-122.4903665969169,2688.0,0.18,0.38,31.085921282338564,1.414,41,0.0,0.6154,74.0,51.0,9.2,16.2,0.7486049107142857,0.0,2.5917,0.49,True,Yes,1852.0,0.28,33.78,Lowest,current,v0.2
SQ,San Quentin State Prison,37.940039851419016,-122.4903665969169,2688.0,0.18,0.38,31.085921282338564,1.414,41,0.0,0.6154,74.0,51.0,9.2,16.2,0.7486049107142857,0.0,2.5917,0.49,True,Yes,1852.0,0.78,62.08,Moderate,midcentury,v0.2
SVSP,Salinas Valley State Prison,36.47885711260287,-121.37439425565836,2387.0,0.23,0.38,12.204984562477916,0.032,1,0.0,0.093,71.19999999999999,21.1,11.4,17.8,0.882802681189778,0.0,4.5667,1.17,False,Yes,1996.0,0.3,37.46,Lowest,current,v0.2
SVSP,Salinas Valley State Prison,36.47885711260287,-121.37439425565836,2387.0,0.23,0.38,12.204984562477916,0.032,1,0.0,0.093,71.19999999999999,21.1,11.4,17.8,0.882802681189778,0.0,4.5667,1.17,False,Yes,1996.0,0.68,58.7,Moderate,midcentury,v0.2
VSP,Valley State Prison,37.105477428630245,-120.15547185750694,3148.0,0.36,0.42,54.67109503384696,0.321,52,0.0913,0.0,68.9,48.8,10.4,34.2,0.7310726387124099,0.0,1.0083,1.08,False,Yes,1995.0,0.21,43.38,Lowest,current,v0.2
VSP,Valley State Prison,37.105477428630245,-120.15547185750694,3148.0,0.36,0.42,54.67109503384696,0.321,52,0.0913,0.0,68.9,48.8,10.4,34.2,0.7310726387124099,0.0,1.0083,1.08,False,Yes,1995.0,0.78,75.24,High,midcentury,v0.2
WSP,Wasco State Prison,35.59431194493489,-119.40833193657431,3676.0,0.59,0.2,56.9272052060359,0.819,136,0.4839,0.0152,54.4,12.3,3.4,5.2,0.8020946681175191,0.0,2.15,0.19,False,,1991.0,0.2,31.04,Lowest,current,v0.2
WSP,Wasco State Prison,35.59431194493489,-119.40833193657431,3676.0,0.59,0.2,56.9272052060359,0.819,136,0.4839,0.0152,54.4,12.3,3.4,5.2,0.8020946681175191,0.0,2.15,0.19,False,,1991.0,0.66,56.9,Moderate,midcentury,v0.2
